Date,Company,Ticker Symbol,Open,High,Low,Close,Volume,Profit,Profit per volume,Signal
2000-01-01,Sony Interactive Entertainment,SONY,5.144572318471468,5.260674836927118,3.760362356669773,4.562933478750845,147012000,1.5003124802573446,1.0205374256913344e-08,-1
2000-02-01,Sony Interactive Entertainment,SONY,4.561806545966666,5.676614122206496,4.508827683615818,5.654069983788417,67437000,1.167786438590678,1.731670208625351e-08,1
2000-03-01,Sony Interactive Entertainment,SONY,5.4286285996076264,5.645052122818643,3.913662566446892,5.052141556559886,112674000,1.731389556371751,1.5366362748919456e-08,-1
2000-04-01,Sony Interactive Entertainment,SONY,5.0949752824858745,5.0949752824858745,4.024128707627118,4.069216984463276,74071000,1.0708465748587566,1.4457028727285395e-08,-1
2000-05-01,Sony Interactive Entertainment,SONY,4.0940156737915245,4.234916538904519,3.201267655367231,3.2891896581293776,65035500,1.0336488835372886,1.5893610159640327e-08,-1
2000-06-01,Sony Interactive Entertainment,SONY,3.2824266907406776,3.7851607033271173,3.210285173666101,3.401910350219773,47946500,0.5748755296610164,1.1989937318907875e-08,1
2000-07-01,Sony Interactive Entertainment,SONY,3.5146310423101683,3.803196082595762,3.2621367605618636,3.3883840727714687,29562000,0.5410593220338984,1.8302527637977755e-08,-1
2000-08-01,Sony Interactive Entertainment,SONY,3.336532485875705,4.166156848195197,3.266645519711299,4.121068571359039,31862500,0.8995113284838978,2.8231034240373413e-08,1
2000-09-01,Sony Interactive Entertainment,SONY,4.130086089657908,4.195464296672881,3.392892831920903,3.6408783545197734,40809500,0.8025714647519782,1.9666290073438248e-08,-1
2000-10-01,Sony Interactive Entertainment,SONY,3.6408783545197734,3.6408783545197734,2.926229235200847,2.9938616504550843,45099500,0.7146491193189264,1.584605415401338e-08,-1
2000-11-01,Sony Interactive Entertainment,SONY,3.0389499272912426,3.194504345307626,2.5993392281387,2.687261230900847,41265000,0.5951651171689258,1.4423000537233148e-08,-1
2000-12-01,Sony Interactive Entertainment,SONY,2.7052966101694915,2.9555366836785306,2.416731569883898,2.506908123556214,35456500,0.5388051137946328,1.5196229571295327e-08,-1
2001-01-01,Sony Interactive Entertainment,SONY,2.497890605257344,2.8270349918942084,2.430258190003107,2.6529942162536715,43559000,0.39677680189110154,9.108951121263149e-09,1
2001-02-01,Sony Interactive Entertainment,SONY,2.6475836717286714,2.676079460885592,2.4982512862225987,2.5794101502605926,28254000,0.17782817466299328,6.293911469632381e-09,-1
2001-03-01,Sony Interactive Entertainment,SONY,2.5267470753795194,2.7990803089511296,2.3590186296395474,2.606102366862852,41838500,0.44006167931158213,1.0518103644049909e-08,1
2001-04-01,Sony Interactive Entertainment,SONY,2.524943502824858,2.8135085431104514,2.4318813373091803,2.764813121164971,35803500,0.3816272058012711,1.0658935740954686e-08,1
2001-05-01,Sony Interactive Entertainment,SONY,2.777437784573163,3.09305572242627,2.759402576639971,2.817115516884322,44795500,0.333653145786299,7.448363022765657e-09,1
2001-06-01,Sony Interactive Entertainment,SONY,2.817115516884322,2.8712214833548018,2.3500009400052257,2.373446865602401,173167500,0.521220543349576,3.0099212805496183e-09,-1
2001-07-01,Sony Interactive Entertainment,SONY,2.3770540107117224,2.3806609826820617,1.6682662429378525,1.7862172260008191,59644000,0.7123947397442092,1.1944114072567386e-08,-1
2001-08-01,Sony Interactive Entertainment,SONY,1.7999239286977116,1.901643104325282,1.6051425866526974,1.6195708213530788,33675500,0.29650051767258456,8.80463594223054e-09,-1
2001-09-01,Sony Interactive Entertainment,SONY,1.5871073790802117,1.6119960238492228,1.1910519374964406,1.1975446086010448,44302000,0.42094408635278224,9.501694875012014e-09,-1
2001-10-01,Sony Interactive Entertainment,SONY,1.2155799022019629,1.533001412429378,1.1831163739006638,1.3778977159456776,55415500,0.3498850385287142,6.313847904083049e-09,1
2001-11-01,Sony Interactive Entertainment,SONY,1.381504774665861,1.762049941358785,1.3674372200289688,1.720568637214378,45034000,0.39461272132981606,8.762550991024916e-09,1
2001-12-01,Sony Interactive Entertainment,SONY,1.666462670563545,1.8125487630806494,1.557168697251765,1.6267851108503104,36192000,0.2553800658288843,7.056257344962541e-09,-1
2002-01-01,Sony Interactive Entertainment,SONY,1.635802628608121,1.791988451130367,1.5420191022440533,1.6145209563505083,41855500,0.24996934888631372,5.9721983702575225e-09,-1
2002-02-01,Sony Interactive Entertainment,SONY,1.5690719994508613,1.7259791822804373,1.4644672110781636,1.666462670563545,25115500,0.26151197120227376,1.0412373681681582e-08,1
2002-03-01,Sony Interactive Entertainment,SONY,1.702172577521539,2.0596325003039544,1.7007298572675844,1.8648511569964685,37968000,0.35890264303637,9.452766620216235e-09,1
2002-04-01,Sony Interactive Entertainment,SONY,1.820844921252542,2.0358258955450563,1.8125487630806494,1.9550277106687848,27620000,0.22327713246440695,8.08389328256361e-09,1
2002-05-01,Sony Interactive Entertainment,SONY,1.9424030490641242,2.162433715580932,1.8991181716436436,2.0960637666675135,36989500,0.2633155439372883,7.118656481901304e-09,1
2002-06-01,Sony Interactive Entertainment,SONY,2.074060734463276,2.092456794697175,1.728143434718234,1.9153499801611582,31785500,0.364313359978941,1.1461621178806091e-08,-1
2002-07-01,Sony Interactive Entertainment,SONY,1.8792793929593214,1.9294175333552255,1.579893261639844,1.6350812684811438,44375500,0.3495242717153815,7.876514556802323e-09,-1
